dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.250002,12.380300,0.000030,0.005988,0.598802,59.880240,0.000001
0.010000,3.250080,12.380300,0.000108,0.007851,0.186302,-41.250002,6.283153
0.010000,3.250268,12.380300,0.000297,0.018812,1.096089,90.978680,6.283076
0.010000,3.250603,12.380300,0.000631,0.033442,1.462991,36.690165,6.282939
0.010000,3.251125,12.380300,0.001153,0.052249,1.880693,41.770201,6.282726
0.010000,3.251856,12.380299,0.001885,0.073140,2.089110,20.841721,6.282427
0.010000,3.252797,12.380298,0.002825,0.094023,2.088269,-0.084070,6.282043
0.010000,3.253946,12.380297,0.003974,0.114894,2.087189,-0.107987,6.281574
0.010000,3.255303,12.380294,0.005332,0.135753,2.085871,-0.131818,6.281018
0.010000,3.256869,12.380290,0.006898,0.156596,2.084316,-0.155520,6.280377
0.010000,3.258643,12.380285,0.008672,0.177422,2.082524,-0.179231,6.279650
0.010000,3.260626,12.380277,0.010654,0.198227,2.080497,-0.202672,6.278836
0.010000,3.262816,12.380266,0.012844,0.219009,2.078236,-0.226072,6.277936
0.010000,3.265213,12.380253,0.015242,0.239766,2.075744,-0.249218,6.276950
0.010000,3.267818,12.380235,0.017847,0.260497,2.073022,-0.272231,6.275876
0.010000,3.270630,12.380213,0.020659,0.281197,2.070072,-0.294962,6.274716
0.010000,3.273649,12.380185,0.023677,0.301866,2.066897,-0.317539,6.273467
0.010000,3.276873,12.380152,0.026902,0.322501,2.063499,-0.339765,6.272131
0.010000,3.280304,12.380112,0.030333,0.343100,2.059882,-0.361752,6.270707
0.010000,3.283940,12.380063,0.033970,0.363661,2.056048,-0.383373,6.269195
0.010000,3.287782,12.380007,0.037812,0.384181,2.052001,-0.404678,6.267593
0.010000,3.291828,12.379940,0.041858,0.404658,2.047746,-0.425555,6.265902
0.010000,3.296078,12.379863,0.046109,0.425091,2.043285,-0.446054,6.264122
0.010000,3.300532,12.379774,0.050564,0.445477,2.038625,-0.466052,6.262251
0.010000,3.305189,12.379672,0.055222,0.465815,2.033769,-0.485608,6.260290
0.010000,3.310049,12.379555,0.060083,0.486102,2.028723,-0.504526,6.258238
0.010000,3.315110,12.379424,0.065147,0.506337,2.023494,-0.522959,6.256094
0.010000,3.320373,12.379275,0.070412,0.526518,2.018086,-0.540715,6.253858
0.010000,3.325837,12.379108,0.075878,0.546643,2.012509,-0.557786,6.251529
0.010000,3.331501,12.378922,0.081545,0.566711,2.006767,-0.574131,6.249107
0.010000,3.337365,12.378715,0.087413,0.586719,2.000871,-0.589682,6.246592
0.010000,3.343427,12.378485,0.093479,0.606668,1.994827,-0.604375,6.243982
